key	surface	english	sv
about.history.entry12.paragraph2	about	The new color-based achievement exposed an accessibility gap: common colour-vision simulations collapse several track colours toward similar greys, olives and violets. TURN 1.7.0 is therefore an accessibility patch, adding optional Color Cues, off by default, with compact text and pattern labels for track colours and selected vehicle paint without recolouring the game or creating a separate visual mode.	
about.history.entry12.paragraph3	about	VoiceOver testing then showed TURN’s paint control behaving differently from a plain HTML color input in the same browser session. The response was to remove the workaround stack rather than add another bridge: the Lot now creates the real input in its final semantic location, leaves the native control appearance and accessible value untouched, stops globally disabling selection and touch behaviour, and progressively adds only TURN’s label and optional Color Cue.	
about.history.entry12.milestone1	about	CHROMATIC CAMOUFLAGE · 50 trophies with generous pink-family matching	
about.history.entry12.milestone2	about	Optional Color Cues with text and pattern redundancy	
about.history.entry12.milestone3	about	TURN 1.7.0 · 2026.08.09-r163 accessibility patch returning paint to native HTML first	
about.history.entry13.period	about	9–11 August	
about.history.entry13.title	about	Music, resilience and vehicle character	
about.history.entry13.paragraph1	about	Real-device investigation of an intermittent short iOS standalone viewport moved from observation to measurement in TURN LAB, where the failing 393/462-pixel state could be captured and repaired reproducibly. Production TURN now protects the primary RACE action in the short viewport and can perform the narrow, proven viewport-meta repair after Home has settled. YOUR TURN also gained canonical track maps and a clearer challenge-specific control set; a later cyan-screen failure was traced to another self-triggering MutationObserver loop and fixed at its source.	
about.history.entry13.paragraph2	about	TURN gained its first continuous generated Web Audio soundtrack across Home, The Lot and racing. Reusable tune, bridge and chorus sections were repeatedly tuned by listening on real devices, while persistent Music controls provide an explicit OFF state that shuts down the music scheduler and AudioContext rather than merely muting it. The default volume is now 50%, and desktop players can hold Q for Drift and E for Boost through the same canonical drive-pad path as touch controls.	
about.history.entry13.paragraph3	about	The Monster Truck became the first Trophy Road vehicle whose reward changes the rules rather than only unlocking a model: it treats off-road ground like track for acceleration, grip, drag, Boost and speed limits while still colliding normally with railings, walls and other world geometry. The perk establishes a new direction for achievement rewards built around distinctive ways to drive rather than simple stat inflation.	
about.history.entry13.milestone1	about	Real-device iOS viewport repair and YOUR TURN control-loop hardening	
about.history.entry13.milestone2	about	Generated racing soundtrack with persistent 0–100% Music control and true OFF shutdown	
about.history.entry13.milestone3	about	TURN 1.8.0 · 2026.08.11-r164 with the Monster Truck all-terrain perk	
about.history.entry14.period	about	17 August	
about.history.entry14.title	about	MOUNTAIN turns Track 6 into an alpine journey	
about.history.entry14.paragraph1	about	TURN’s sixth production track replaces the old Track 6 placeholder with MOUNTAIN: a 49-metre alpine route that begins in a warm snowy village, climbs in long flowing curves around the hidden backside, reaches a river at the snow line and then changes character into an exposed front-face hairpin descent beside a waterfall.	
about.history.entry14.paragraph2	about	The world combines a procedural alpine ground treatment, batched spruce forests and Cliffside-style granite with a cozy chalet village, chapel, inn, lanterns, Kenney Fantasy Town landmarks, a lake, summit river, waterfall mist and a layered mountain backdrop. Snow is deliberately visual rather than an ice-grip gimmick, while guardrail-aligned containment keeps the descent difficult without letting cars pass through scenery.	
about.history.entry14.paragraph3	about	MOUNTAIN also joins TURN’s non-visual and progression systems as a first-class track: Drive By Ear changes from long flowing climb notes to alternating severity-three slalom calls, Color Cues adds a distinct blue family, every-track achievements now include six tracks, and Trophy Road unlocks MOUNTAIN at 1,000 trophies.	
about.history.entry14.milestone1	about	Sixth production track with a 49 m summit and cinematic village-to-peak intro	
about.history.entry14.milestone2	about	Snowy village, summit river, front-face slalom, waterfall and alpine backdrop	
about.history.entry14.milestone3	about	TURN 1.9.0 · 2026.08.17-r173 with MOUNTAIN at 1,000 trophies	
about.history.entry15.period	about	18 August	
about.history.entry15.title	about	MOUNTAIN becomes a moonlit night race	
about.history.entry15.paragraph1	about	MOUNTAIN’s daytime alpine world was retreated as a night track with a compact star field, full moon, moonlit snow and water, warm street-lamp pools and lit chalet windows. The celestial layer follows the world horizon with restrained parallax rather than the physical screen, and loading-camera cuts now snap the sky immediately instead of visibly rolling it into place.	
about.history.entry15.paragraph2	about	Reduced-motion players get the same deep-blue night atmosphere and moon without the moving star field or parallax. Window glow was snapped to real house facades, benches were oriented toward the road and the night treatment deliberately avoids expensive shadow maps.	
about.history.entry15.paragraph3	about	A real shadowless Three.js spotlight replaced the earlier projected headlight wedges. MOUNTAIN and MIDNIGHT CITY now share one performance-conscious headlight rig; device testing then tuned its reach, intensity and emitter position without adding a second light, beam geometry, raycasts or a separate animation loop.	
about.history.entry15.paragraph4	about	A side-by-side device comparison then exposed a cache-order bug in that shared rig: an older module could create the named light first and later installers would reuse it without reapplying the current configuration. Build r175 makes every night-track activation reconcile the live light to the canonical settings and explicitly removes any surviving MIDNIGHT CITY projected-headlight nodes.	
about.history.entry15.milestone1	about	Moon, star field, moonlit terrain, warm village lamps and lit windows	
about.history.entry15.milestone2	about	Reduced-motion night treatment with a static solid-colour sky and retained moon	
about.history.entry15.milestone3	about	TURN 1.9.1 · 2026.08.18-r174 with shared night-track headlights and MOUNTAIN night polish	
about.history.entry15.milestone4	about	TURN 1.9.1 · 2026.08.18-r175 with cache-order-independent night-headlight reconciliation	
about.changelog.01.date	about	18 July 2026	
about.changelog.01.entry1.label	about	Prototype	
about.changelog.01.entry1.description	about	Sensor steering, Three.js road and world, touch driving, lap timing, saved rivals and first PWA work.	
about.changelog.02.date	about	19 July	
about.changelog.02.entry1.label	about	R7	
about.changelog.02.entry1.description	about	Verified modular TURN LAB runtime promoted to production.	
about.changelog.02.entry2.label	about	1.0.1 r8	
about.changelog.02.entry2.description	about	Correct manual steering and visible on-screen steering.	
about.changelog.02.entry3.label	about	1.1.0–1.1.3 r9–r12	
about.changelog.02.entry3.description	about	The Lot, fifteen cars, viewer, balanced stats and ordered checkpoints.	
about.changelog.02.entry4.label	about	1.2.0–1.2.1 r13–r14	
about.changelog.02.entry4.description	about	Continuous Gas/Drift/Boost pad, Brake · Reverse and Boost rearming.	
about.changelog.03.date	about	20 July	
about.changelog.03.entry1.label	about	1.3.0 r15	
about.changelog.03.entry1.description	about	State-aware race menu.	
about.changelog.03.entry2.label	about	1.4.0 r16 — reverted	
about.changelog.03.entry2.description	about	Ability Zones and nitrous removed after device testing.	
about.changelog.03.entry3.label	about	1.3.1–1.3.9 r17–r25	
about.changelog.03.entry3.description	about	Performance, orientation, paint, outlines and repeated Lot simplification.	
about.changelog.04.date	about	21 July	
about.changelog.04.entry1.label	about	1.3.10–1.3.15 r26–r31	
about.changelog.04.entry1.description	about	Procedural audio, vehicle sound identity and stronger landscape handling.	
about.changelog.04.entry2.label	about	1.3.16–1.3.21 r32–r38	
about.changelog.04.entry2.description	about	Lap-result toast, swept gates, invalid-lap state and physical start/finish ownership.	
about.changelog.04.entry3.label	about	1.4.0 r37 — reverted	
about.changelog.04.entry3.description	about	Audio redesign rolled back after real-device regressions.	
about.changelog.05.date	about	22 July	
about.changelog.05.entry1.label	about	1.3.22–1.3.29 r39–r46	
about.changelog.05.entry1.description	about	Rival onboarding, immediate invalid-lap feedback, mobile performance and new icon package.	
about.changelog.05.entry2.label	about	1.5.0–1.6.2 r47–r52	
about.changelog.05.entry2.description	about	Airport, track selection, track-scoped records and forgiving hairpin run-off.	
about.changelog.06.date	about	23–24 July	
about.changelog.06.entry1.label	about	1.7.0 r53	
about.changelog.06.entry1.description	about	World containment and reusable scenery collision.	
about.changelog.06.entry2.label	about	1.7.1–1.7.6 r62–r67	
about.changelog.06.entry2.description	about	Release source of truth, generic track registry, covered-render pause, event-driven rivals, skid ring buffer and elevation foundation.	
about.changelog.07.date	about	25 July	
about.changelog.07.entry1.label	about	1.8.0–1.8.6 r68–r74	
about.changelog.07.entry1.description	about	Cliffside, forgiving shoulders and iOS/iPad viewport coverage.	
about.changelog.07.entry2.label	about	1.9.0–1.9.4 r75–r79	
about.changelog.07.entry2.description	about	Track introductions, Cliffside highlands and track postcard identities.	
about.changelog.07.entry3.label	about	1.10.0–1.10.5 r80–r85	
about.changelog.07.entry3.description	about	Harbor, free roaming, top-HUD position and LAP VOID wording.	
about.changelog.08.date	about	26 July	
about.changelog.08.entry1.label	about	1.11.0–1.11.3 r86–r89	
about.changelog.08.entry1.description	about	Super Sedan secret and hidden Harbor face.	
about.changelog.08.entry2.label	about	1.12.0 r90	
about.changelog.08.entry2.description	about	Brake/Reverse joins the continuous four-zone drive surface.	
about.changelog.08.entry3.label	about	1.13.0–1.15.0 r91–r95	
about.changelog.08.entry3.description	about	Universal soundscape, Sound Guide, race speech and first Airport pace notes.	
about.changelog.09.date	about	27 July	
about.changelog.09.entry1.label	about	1.16.0–1.17.0 r96–r97	
about.changelog.09.entry1.description	about	Pace notes on every track and a true Drive By Ear off path.	
about.changelog.09.entry2.label	about	1.18.0–1.22.0 r98–r103	
about.changelog.09.entry2.description	about	RAD prototype, Training Car, unified Trajectory Slider, pure-pursuit recovery and organic hum.	
about.changelog.09.entry3.label	about	r104	
about.changelog.09.entry3.description	about	Audio controls, sound balance, Spectate rank and race-UI polish.	
about.changelog.10.date	about	28 July	
about.changelog.10.entry1.label	about	1.23.1–1.23.6 r105–r110	
about.changelog.10.entry1.description	about	Recovery direction, speech priority, exact lap wording and delivery-critical pace notes.	
about.changelog.10.entry2.label	about	TURN NEXT M1–M4.2	
about.changelog.10.entry2.description	about	Isolated staging, platform contract, rejected orientation freeze, accepted 24° safe zone and non-flashing inertial warning.	
about.changelog.11.date	about	29 July	
about.changelog.11.entry1.label	about	1.24.0 r111	
about.changelog.11.entry1.description	about	Validated 24° steering/horizon envelope promoted to production.	
about.changelog.11.entry2.label	about	1.24.1–1.24.2 r112–r113	
about.changelog.11.entry2.description	about	Expanded Drive By Ear guide and screen-reader compatibility explanation.	
about.changelog.11.entry3.label	about	1.24.3–1.24.7 r114–r118	
about.changelog.11.entry3.description	about	Accessible Lot navigation, unified 3D/paint panel and VoiceOver-correct selected-car structure.	
about.changelog.12.date	about	30 July	
about.changelog.12.entry1.label	about	1.24.8 r119 — reverted	
about.changelog.12.entry1.description	about	Generated icon suite rolled back after visual review.	
about.changelog.12.entry2.label	about	TURN NEXT M5–M7	
about.changelog.12.entry2.description	about	Platform motion/display lifecycle and central race-session orchestration.	
about.changelog.13.date	about	31 July	
about.changelog.13.entry1.label	about	TURN NEXT M8	
about.changelog.13.entry1.description	about	Track chooser becomes Home; native iOS scrolling, fixed layout and retired legacy startup screen.	
about.changelog.13.entry2.label	about	1.25.0 r120	
about.changelog.13.entry2.description	about	M5–M8 promoted to production; Home → track → The Lot → race.	
about.changelog.13.entry3.label	about	Post-r120 fixes	
about.changelog.13.entry3.description	about	Restore enhanced Lot, keep race action visible and make installation guidance browser-aware.	
about.changelog.13.entry4.label	about	Midnight City	
about.changelog.13.entry4.description	about	First long night-track implementation.	
about.changelog.14.date	about	1 August	
about.changelog.14.entry1.label	about	Midnight City rebuild	
about.changelog.14.entry1.description	about	District route, parks, skyline, cinematic intro and deliberate hidden LILYA discovery.	
about.changelog.14.entry2.label	about	Pace-note corrections	
about.changelog.14.entry2.description	about	Mirrored directions fixed and 1,080/720 progress distortion removed.	
about.changelog.14.entry3.label	about	1.3.0 r121	
about.changelog.14.entry3.description	about	Human-facing version line reset from 1.25.0 for clearer reading.	
about.changelog.14.entry4.label	about	r122 and hotfixes	
about.changelog.14.entry4.description	about	Record-car thumbnails, canonical player marker, expanded help and contextual rival reset.	
about.changelog.14.entry5.label	about	Accessibility	
about.changelog.14.entry5.description	about	External-keyboard route, desktop support gate and motion-denial recovery.	
about.changelog.15.date	about	2 August	
about.changelog.15.entry1.label	about	1.3.1–1.3.2 r123–r124	
about.changelog.15.entry1.description	about	Semantic difficulty, form-control and disclosure design system.	
about.changelog.15.entry2.label	about	Design/brand fixes	
about.changelog.15.entry2.description	about	Profile-aligned icon, complete palette reference and vehicle-size balancing.	
about.changelog.16.date	about	3 August	
about.changelog.16.entry1.label	about	1.4.0 r125 and r126	
about.changelog.16.entry1.description	about	Emergency vehicles, fixed liveries, lights and sirens.	
about.changelog.16.entry2.label	about	Blank screen	
about.changelog.16.entry2.description	about	True-black audio-only play with temporary Drive By Ear activation.	
about.changelog.16.entry3.label	about	Achievements	
about.changelog.16.entry3.description	about	Onboarding, non-visual, Police and developer time-trial challenges.	
about.changelog.16.entry4.label	about	Trophy Road	
about.changelog.16.entry4.description	about	Permanent trophies, reward gates, hidden achievements and existing-player migration.	
about.changelog.16.entry5.label	about	Critical hotfixes	
about.changelog.16.entry5.description	about	Race-freeze investigation and actual Paintjob observer-loop correction.	
about.changelog.17.date	about	4 August	
about.changelog.17.entry1.label	about	1.5.0 r159	
about.changelog.17.entry1.description	about	Branded loading cover, stable iOS Home surface, compact Paintjob lock and unread achievement dots.	
about.changelog.18.date	about	5 August	
about.changelog.18.entry1.label	about	1.5.1 r160	
about.changelog.18.entry1.description	about	Trophy Road initial-card and preview-transition fixes; Paintjob lower rail.	
about.changelog.18.entry2.label	about	Post-r160 interface work	
about.changelog.18.entry2.description	about	Car-coloured Paintjob lock, stale lock-toast dismissal, “one oh one” pronunciation, in-game history, normative dialogs, unified design-system navigation and website About.	
about.changelog.18.entry3.label	about	Achievement expansion	
about.changelog.18.entry3.description	about	Harder developer records, FIND LILYA!, FIND DARVID!, Fire Truck-only SAVE BELLA!, AN ARMY OF ME and ON COURSE, OF COURSE.	
about.changelog.19.date	about	6 August	
about.changelog.19.entry1.label	about	1.5.2 r161	
about.changelog.19.entry1.description	about	Consolidates post-r160 interface, progression, achievement and accessibility work; corrects the usable iOS standalone viewport and refreshes release caches.	
about.changelog.20.date	about	7 August	
about.changelog.20.entry1.label	about	YOUR TURN recipient	
about.changelog.20.entry1.description	about	Browser-first challenge flow reusing TURN’s canonical race runtime, with motion steering, Drive By Ear support, real pause, repeat attempts and named rival cars.	
about.changelog.20.entry2.label	about	Growing challenges	
about.changelog.20.entry2.description	about	Challenges can accumulate up to four rival replays, preserve stable racer identity, replace a returning racer’s slower car and stage the field together at the start.	
about.changelog.20.entry3.label	about	TURN sharing	
about.changelog.20.entry3.description	about	Selected-track records and new personal-best lap results can launch the SHARE YOUR TURN composer without changing core race behaviour.	
about.changelog.21.date	about	8 August	
about.changelog.21.entry1.label	about	1.6.0 r162	
about.changelog.21.entry1.description	about	Promotes YOUR TURN sharing into the release: social challenge creation from TURN, growing named challenge chains and refreshed release caches.	
about.changelog.21.entry2.label	about	Short challenge links	
about.changelog.21.entry2.description	about	Cloudflare Worker and D1 snapshots replace growing replay URLs with compact enkel.design links; self-contained links remain the automatic fallback.	
about.changelog.21.entry3.label	about	Shared product language	
about.changelog.21.entry3.description	about	TURN and YOUR TURN share the About presentation and Kenney Game Assets attribution, while the design system now documents social sharing and racer identity colours.	
about.changelog.22.date	about	9 August	
about.changelog.22.entry1.label	about	1.7.0 r163	
about.changelog.22.entry1.description	about	Accessibility patch prompted by the new color-based CHROMATIC CAMOUFLAGE achievement: adds optional Color Cues while keeping vehicle paint on the native HTML color input.	
about.changelog.22.entry2.label	about	CHROMATIC CAMOUFLAGE	
about.changelog.22.entry2.description	about	Hidden 50-trophy achievement for setting a matching-colour personal best on all five production tracks; broad hue ranges now include canonical #FF00FF Magenta for Countryside’s pink family.	
about.changelog.22.entry3.label	about	Color accessibility	
about.changelog.22.entry3.description	about	Device comparison against a plain HTML color input led to removing activation bridges, named-color fallbacks, post-render paint relocation and broad interaction-suppressing CSS. TURN now starts with the native input and progressively adds only layout and optional Color Cues.	
about.changelog.23.date	about	10–11 August	
about.changelog.23.entry1.label	about	1.8.0 r164	
about.changelog.23.entry1.description	about	Minor release combining post-r163 reliability, social-racing, control, music and vehicle-identity work with refreshed release caches.	
about.changelog.23.entry2.label	about	iOS/PWA resilience	
about.changelog.23.entry2.description	about	A real-device-proven repair handles the known short standalone viewport after Home settles, while the primary RACE action remains reachable in the reduced web layer.	
about.changelog.23.entry3.label	about	YOUR TURN	
about.changelog.23.entry3.description	about	Adds canonical track maps, challenge-specific Settings and Spectate controls, aligns race controls with TURN and removes a self-triggering control-row observer loop that could leave iOS on a cyan screen.	
about.changelog.23.entry4.label	about	Generated racing music	
about.changelog.23.entry4.description	about	Continuous Web Audio music spans Home, The Lot and racing with reusable tune, bridge and chorus material, persisted OFF–100% volume, a 50% default and true engine shutdown at OFF.	
about.changelog.23.entry5.label	about	Desktop controls and vehicle identity	
about.changelog.23.entry5.description	about	Q = Drift and E = Boost join the existing keyboard route; the Monster Truck becomes the first perk vehicle by taking no off-road terrain speed or handling penalty while preserving world collisions.	
about.changelog.23.entry6.label	about	Interface/accessibility polish	
about.changelog.23.entry6.description	about	Adds a non-colour edge to the Boost meter, fixes the Home header boundary and music-control alignment, and refreshes the startup loading copy.	
about.changelog.24.date	about	17 August	
about.changelog.24.entry1.label	about	1.9.0 r173	
about.changelog.24.entry1.description	about	Adds MOUNTAIN as TURN’s sixth production track and 1,000-trophy reward: snowy village, long alpine climb, summit river, technical slalom descent, waterfall and cinematic mountain backdrop.	
about.changelog.24.entry2.label	about	MOUNTAIN world	
about.changelog.24.entry2.description	about	Adds procedural alpine ground texture, snow line, batched spruce forest and granite, cozy chalets/inn/chapel/lanterns, Kenney Fantasy Town landmarks, lake, river, waterfall mist and guardrail-aligned containment.	
about.changelog.24.entry3.label	about	MOUNTAIN accessibility	
about.changelog.24.entry3.description	about	Adds a distinct blue Color Cue and Chromatic Camouflage family, six-track achievement semantics and a Drive By Ear map that deliberately changes from flowing climb calls to alternating tight descent calls.	
about.changelog.25.date	about	18 August	
about.changelog.25.entry1.label	about	1.9.1 r174	
about.changelog.25.entry1.description	about	Turns MOUNTAIN into a moonlit night track and refreshes the release identity after the final alpine art and lighting pass.	
about.changelog.25.entry2.label	about	1.9.1 r175	
about.changelog.25.entry2.description	about	Fixes shared night-headlight activation so MIDNIGHT CITY and MOUNTAIN always reconcile the live named spotlight to the current 2600-intensity, 220 m configuration regardless of module-cache or track activation order.	
about.changelog.25.entry3.label	about	Night MOUNTAIN	
about.changelog.25.entry3.description	about	Adds a horizon-locked star field and moon, moonlit snow and waterfall, warm street-light pools, lit chalet windows and reduced-motion behaviour that keeps the moon while replacing moving stars with a solid night sky.	
about.changelog.25.entry4.label	about	Night-track headlights	
about.changelog.25.entry4.description	about	MOUNTAIN and MIDNIGHT CITY share one shadowless physical spotlight with no projected beam geometry; r174 increases its reach and intensity and moves the emitter closer to the car, while r175 makes those settings authoritative on every install and removes surviving legacy MIDNIGHT CITY projected-headlight nodes.	
about.currentRelease.note	about	TURN 1.9.1 build r175 makes the shared MOUNTAIN and MIDNIGHT CITY headlight configuration authoritative at runtime, removing stale projected-headlight remnants and cache-order dependence.	
settings.balance.aria	settings	Sound balance	
settings.balance.valueText	settings	{dbePercent}% Drive By Ear, {otherPercent}% other sounds{balancedSuffix}	
home.trackCard.sr.best	home	Best {time} with {carName}	
home.trackCard.sr.bestNoCar	home	Best {time}	
home.trackCard.sr.noTime	home	No time yet	
home.trackCard.sr.label	home	{trackName}, {difficulty} track. {recordClause}.	
